Metabolite,Ylypol_F535_R1_mal_01,Ylypol_F535_R2_mal_02,Ylypol_F535_R3_mal_03,Ylypol_F570_R1_mal_04,Ylypol_F570_R2_mal_05,Ylypol_F570_R3_mal_06,Ylypol_F580_R1_mal_07,Ylypol_F580_R2_mal_08,Ylypol_F580_R3_mal_09,Ylypol_F584_R1_mal_10,Ylypol_F584_R2_mal_11,Ylypol_F584_R3_mal_12,Ylypol_glu_F535_R1_13,Ylypol_glu_F535_R2_14,Ylypol_glu_F535_R3_15,Ylypol_glu_F570_R1_16,Ylypol_glu_F570_R2_17,Ylypol_glu_F570_R3_18,Ylypol_glu_F580_R1_19,Ylypol_glu_F580_R2_20,Ylypol_glu_F580_R3_21,Ylypol_glu_F584_R1_22,Ylypol_glu_F584_R2_23,Ylypol_glu_F584_R3_24
monostearin*,1004648.9609999999,495680.0871,1310853.7820000001,2092176.122,953786.8789,342831.8545,1201122.844,927134.2195,490476.2499,1687551.094,296744.7039,176183.9271,1154273.063,915452.3865,815001.4051,540507.3845,1087034.91,2091978.865,1265567.487,1172524.43,1155994.77,1288444.221,750020.22,1778903.521
myo-inositol,27353054.65,49608009.69,28427385.87,14154180.28,11552328.31,14503140.8,11068686.57,14724105.07,10982916.73,12514135.73,12699452.77,9263067.009,13655816.8,21342527.1,19792528.5,19177581.7,21236669.66,18260298.62,18876117.14,15907977.24,19289666.15,14660805.92,17597836.95,11047625.77
myristic acid,1642764.706,690950.7169,1743023.3169999998,1133905.139,1624293.4109999998,1654645.746,634623.4159,1536393.435,1176164.253,1471363.4209999999,283996.9058,610640.4834,1959462.0690000001,1935234.15,1423087.144,1047965.551,994206.15,542095.6467,1295213.805,2981494.182,1440309.9209999999,2466821.952,784093.9119,622290.8138
N-acetyl-L-lysine*,14698692.14,31924342.55,14989511.95,6093016.205,3271527.4280000003,6618119.9,3747308.4469999997,6562014.012999999,3649085.5319999997,7162550.216,4995476.242,3958397.7139999997,3908036.526,4686855.817,4690379.927,4833272.087,3449513.957,3976054.522,3111447.9480000003,3432998.2060000002,3905220.756,2879118.477,3400827.9510000004,1636785.649
N-methylalanine,0.0,1979306.513,1167769.166,8811894.102,4840066.68,6970055.364,4903158.2360000005,8581123.667000001,5684542.622,9261902.424,5525581.16,7865931.299,431512.016,2720075.486,2784919.128,3081739.264,0.0,3827016.8880000003,3472110.0560000003,1857615.744,1871665.165,2021738.1619999998,1767008.5259999998,2624640.955
N-methylglutamic acid,482931.5998,580474.4893,498877.5141,834871.0209,1205879.6840000001,1366689.665,706345.7,1397696.7719999999,577566.0751,1076645.779,219507.4284,389173.6349,309649.6761,840626.1968,631724.0589,833082.5941,425989.8618,838307.2426,755008.4167,453370.6537,121137.7521,926731.3455,790904.3503,388750.0964
oleic acid,35364697.0,46512886.0,33570086.0,48825770.0,42824803.0,54956087.0,36872999.0,55975356.0,39773410.0,62658599.0,50943508.0,57776393.0,25268153.0,36885613.0,34783904.0,38303626.0,52078214.0,45137228.0,30893572.0,23837639.0,32979226.0,34809276.0,33433567.0,23596899.0
palmitic acid,1014050.26,894403.4624,928758.5197,1087925.486,1396107.144,1259380.2240000002,733002.4496,1093032.455,678472.1192,1588607.157,540214.4157,431864.5805,1257139.459,1160766.413,908409.8751,883604.5276,1167977.008,639831.2066,856184.6214,1977697.5790000001,1168445.144,1693663.841,1243657.192,686781.125
palmitoleic acid,183482.0476,332894.065,195321.6643,394124.4287,845456.2054,485598.6559,98520.17569,537786.5171,61550.635870000006,1023927.9670000001,93415.84534,51939.63595,334472.2841,399584.5324,339655.2465,155099.2334,606560.8347,117239.9688,279720.382,781737.837,306383.1162,884945.7285,945581.1409,232116.16600000003
pantothenic acid,704330.2557,873700.1440000001,615438.3952,1441038.0990000002,1342353.011,1803566.398,1066283.381,1846766.5880000002,1159278.439,1787237.116,1518903.9719999998,1059867.395,521821.695,935278.9266,814699.0843,1353480.9419999998,1630697.757,1419370.261,792734.8232,721510.0234,910202.2031,947014.1576,900345.6796,574522.9731
