,fluxes
INSt2,0.0
IPCS124_SC,0.0
IPCS126_SC,0.0
IPCS224_SC,0.0
IPCS226_SC,0.0
IPCS324_SC,0.0
IPCS326_SC,0.0
IPDDI,0.0
DHORD4,0.0
DHORTSn,0.0
OMPDC,0.0
IPPS,0.0
ORPT,0.0
ITCOALm,0.0
TMDS,0.0
ACS,0.0
KYN,0.0
KYN3OX,0.0
Kt2r,0.0
HCITSm,0.0
LEUTAm,0.0
LEUTRS,0.0
LEUTRSm,0.0
LEUt2r,0.0
LGTHL,0.0
C14STR,0.0
C24STRer,0.0
LPP_SC,0.0
LYSTRS,0.0
LYSTRSm,0.0
LYSt2m,0.0
LYSt2r,0.0
L_LACDm,0.0
L_LACt2r,0.0
M1PD,0.0
MACACI,0.0
MALOAAtp,0.0
MALSp,0.0
MALT,0.0
MALTt2,0.0
MALt2r,0.0
MALtm,-11.148989547038326
C3STDH1,0.0
C3STDH2,0.0
C3STKR1,0.0
MANt2,0.0
C3STKR2,0.0
MCOATA,0.0
MCOATAm,0.0
C4STMO1,0.0
C4STMO2,0.0
MDHp,0.0
ME1m,0.0
ME2m,0.0
MELIBt2,0.0
METAT,0.0
METB1,0.0
CHLSTI,0.0
METTRS,0.0
METTRSm,0.0
METt2m,0.0
METt2r,0.0
MEVK1,0.0
MEVK2,0.0
MEVK3,0.0
DPMVD,0.0
LNS14DM,0.0
MHPGLUT,0.0
MI1PP,0.0
MI1PS,0.0
MIP2CS124_SC,0.0
MIP2CS126_SC,0.0
MIP2CS226_SC,0.0
MIP2CS324_SC,0.0
MIP2CS326_SC,0.0
MLTHFtm,-4.595958188153293
MMETt2,0.0
MOHMT,0.0
LNSTLS,0.0
MEVK4,0.0
PMEVK,0.0
NABTNO,0.0
NADDPp,0.0
SQLEr,0.0
NADH2_u6m,8.851010452961681
NADK,0.0
NADKm,0.0
NADN,0.0
NADNm,0.0
NADPPPS,0.0
NADPPPSm,0.0
NADS1,0.0
NADS1m,0.0
NAPRT,0.0
NAPRTm,0.0
NAt3_1,0.0
NDP3,0.0
NDP3g,0.0
NDP4,0.0
NDPK1,0.0
NDPK2,0.0
NDPK3,0.0
NDPK4,0.0
NDPK5,0.0
NDPK6,0.0
NDPK7,0.0
NDPK8,0.0
NDPK9,0.0
SQLS,0.0
AASAD2,0.0
NH4tp,0.0
NMNAT,0.0
NMNATm,0.0
NMNTP,0.0
NMNt2m,0.0
NMNt2p,0.0
NNAMr,0.0
NNAMrm,0.0
NNAT,0.0
NNATm,0.0
NNDPR,0.0
NNDPRm,0.0
NTD1,0.0
NTD10,0.0
NTD11,0.0
NTD2,0.0
NTD3,0.0
NTD4,0.0
NTD5,0.0
NTD6,0.0
NTD7,0.0
NTD8,0.0
NTD9,0.0
NTP3,0.0
NTP4,0.0
NTRLASE,0.0
NTRLASE2,0.0
NTRLASE3,0.0
AATA,0.0
HACNHm,0.0
HICITDm,0.0
OAAt2m,11.148989547038326
MCITDm,0.0
OCDCAt,0.0
OCDCEAt,0.0
OCDCYAt,0.0
OCTDP_5tm,0.0
OHPBAT,0.0
OHPHM6n,0.0
OMBZLM6m,0.0
OXAGm,0.0
OMCDCm,0.0
OMMBLHX6m,0.0
SACCD1,0.0
OMPHHX6m,0.0
OPHBDC6,0.0
OPHHX6,0.0
ORNDC,0.0
ORNTA,0.0
SACCD2,0.0
ORNt2r,0.0
THRD_Lm,0.0
DOLPt2er,0.0
ERGSTter,0.0
OXO2Ctm,0.0
P5CDm,0.0
ERGTETROLter,0.0
PAK_SC,0.0
PAN4Ptm,0.0
PANTS,0.0
PANTtm,0.0
G6Pter,0.0
PAPt,0.0
PAPtm,0.0
PAtm_SC,0.0
MANNANter,0.0
PCLAD,0.0
PDE1,0.0
PDE2,0.0
PDE3,0.0
PDE4,0.0
PDE5,0.0
O2ter,0.0
PDX5PO,0.0
PETHCT,0.0
SQ23EPXter,0.0
PEtg_SC,0.0
PEtm_SC,0.0
PEtv_SC,0.0
SQLter,0.0
PFK26,0.0
PFK_2,0.0
PFK_3,0.0
PGAMT,0.0
ATPS,0.0
CO2t,-4.255052264808386
GLCt1,10.0
H2Ot,-26.553031358884883
INSTt2,0.0
NH4t,0.0
PGPPAm_SC,0.0
PHCDm,0.0
O2t,9.829547038327478
PHETRS,0.0
PHETRSm,0.0
PHEt2m,0.0
PHEt2r,0.0
PI3P4K_SC,0.0
PI45BPP_SC,0.0
PI4P5K_SC,0.0
PIN3K_SC,0.0
PIN4K_SC,0.0
PIN4Kn_SC,0.0
PIt2r,0.0
PIt2m,8.009790940766454
SO4ti,0.0
PIt2p,0.0
2OXOADPtim,0.0
PIt2v,0.0
3C3HMPtm,0.0
PMDPHT,0.0
3MOBtm,0.0
3MOPtm,0.0
PMPK,0.0
PNTK,0.0
PNTOt2,0.0
POLYAO,0.0
POLYAO2,0.0
ATPtm_H,19.15878048780478
PPAm,4.595958188153293
PPBNGS,0.0
PPCDC,0.0
PPCK,0.0
PPM,0.0
PPNCL2,0.0
PPND,0.0
CITtam,-11.148989547038326
CO2tm,-8.85101045296168
PPPG9tm,0.0
PPPGOm,0.0
PRAGSr,0.0
PRAIS,0.0
NH4tm,-2.2979790940766467
PRAMPC,0.0
PRASCS,0.0
PRATPP,0.0
PRFGS,0.0
PRMICIi,0.0
PRO1xm,0.0
PROTRS,0.0
PROt2r,0.0
PROtm,0.0
PRPPS,0.0
PRPPtm,0.0
O2tm,9.829547038327478
PSERDg_SC,0.0
ORNt3m,0.0
PSERDv_SC,0.0
PYRt2m,6.553031358885033
PSERSm_SC,0.0
THRt2m,0.0
PSPHPL,0.0
PSPHS,0.0
ASPt2n,0.0
PStg_SC,0.0
PStm_SC,0.0
PStv_SC,0.0
PTD1INOtn_SC,0.0
PTD4INOtn_SC,0.0
PTPATi,0.0
PTPATim,0.0
PTRCt2,0.0
PUNP1,0.0
PUNP1m,0.0
PUNP2,0.0
PUNP3,0.0
PUNP3m,0.0
PUNP4,0.0
PUNP5,0.0
PUNP6,0.0
PUNP7,0.0
PYAM5PO,0.0
PYDAMK,0.0
PYDXK,0.0
PYDXNK,0.0
PYDXNO,0.0
PYDXO,0.0
CBPtn,0.0
PYNP2r,0.0
PYR5CDm,0.0
PYRDC,0.0
PYRt2,0.0
DHORtn,0.0
PYRt2p,0.0
QULNtm,0.0
RBFK,0.0
RBFKm,0.0
RBFSa,0.0
RBFSb,0.0
RBK,0.0
RIBFLVt2,0.0
RIBFLVtm,0.0
RIBt2,0.0
H2Otn,0.0
RNDR1n,0.0
RNDR2,0.0
RNDR2n,0.0
RNDR3,0.0
RNDR3n,0.0
RNDR4,0.0
RNDR4n,0.0
RNTR1,0.0
RNTR2,0.0
RNTR3,0.0
PIt2n,0.0
ANPRT,0.0
CHORM,0.0
CHORS,0.0
DDPA,0.0
SADT,0.0
SAM24MT,0.0
SBPP1,0.0
SBPP2,0.0
DHQS,0.0
SBTD_L,0.0
DHQTi,0.0
SBT_Dt,0.0
SBT_Lt,0.0
IGPS,0.0
SERD_L,2.2979790940766467
SERPT,0.0
SERTRS,0.0
SERt2m,2.2979790940766467
SERt2r,0.0
SFGTH,0.0
PHETA1,0.0
PPND2,0.0
SHSL1,0.0
SHSL4r,0.0
SLCBK1,0.0
SLCBK2,0.0
PPNDH,0.0
PRAIi,0.0
SPMDAT1,0.0
SPMDt2,0.0
SPMS,0.0
SPRMS,0.0
SPRMti,0.0
PSCVTi,0.0
SHK3D,0.0
SHKK,0.0
TRPS1,0.0
SRB_Lt,0.0
SSALy,0.0
SUCCt2r,0.0
SUCCtm,0.0
SUCD1m,0.0
SUCD2_u6m,0.0
SUCD3_u6m,0.0
SUCFUMtm,0.0
SUCOASm,0.0
ACHBSm,0.0
TALA,0.0
THFATm,0.0
THFGLUS,0.0
THFtm,4.595958188153293
THMDPe,0.0
THMDt2,0.0
